time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,rsi,vwap_dist,hour,dow,session,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,label
2021-01-01 03:15:00+00:00,1891.8375376189715,1901.6598228598,1895.6107262097332,1897.4737436538117,3466,14,XAUUSD,M15,6.560199862770121,46.009459525870646,0.6229045849449055,3,4,1,1901.6598228598,1890.8365516188571,0,0,2.4102515950305587,,0,0,-1
2021-01-01 03:30:00+00:00,1897.4737436538117,1900.6902173224776,1897.7766323504425,1899.8112903650715,1978,15,XAUUSD,M15,6.712407066073199,48.3870792631801,0.9367446922517675,3,4,1,1901.6598228598,1890.8365516188571,0,0,,7.912115746767995,0,0,-1
2021-01-01 03:45:00+00:00,1899.8112903650715,1896.562929692339,1893.747707113032,1895.5148280506555,3480,13,XAUUSD,M15,6.613539495418877,49.22491223352422,0.2909990948859056,3,4,1,1901.6598228598,1890.3039465671889,0,0,,3.8059507994059913,0,1,1
2021-01-01 04:00:00+00:00,1895.5148280506555,1899.6934331026837,1896.8842665230716,1897.358581971068,3117,19,XAUUSD,M15,6.519589444828317,47.29718117976717,0.5557573267668695,4,4,1,1900.6902173224776,1890.3039465671889,0,0,,6.258983125150053,0,1,-1
2021-01-01 04:15:00+00:00,1897.358581971068,1893.8402710891912,1890.3039465671889,1892.564168966923,9088,15,XAUUSD,M15,6.611061194848568,37.872788702929896,-0.15721996912903158,4,4,1,1899.9328513137427,1890.3039465671889,0,0,,5.651904945119213,0,1,1
2021-01-01 04:30:00+00:00,1892.564168966923,1899.9328513137427,1894.0415281575645,1896.9564204734595,1128,13,XAUUSD,M15,6.292534278070207,52.1477434033694,0.5270485290926039,4,4,1,1899.9328513137427,1890.3039465671889,0,0,2.3716507494991674,,0,1,1
2021-01-01 04:45:00+00:00,1896.9564204734595,1898.9153213537547,1896.2119218386904,1896.706790918528,8475,10,XAUUSD,M15,6.008855821634223,60.57687757504189,0.46499503456539376,4,4,1,1899.9328513137427,1890.3039465671889,0,0,,4.760963792201892,0,0,1
2021-01-01 05:00:00+00:00,1896.706790918528,1897.724356984818,1895.1718875215408,1895.782479100802,6911,16,XAUUSD,M15,5.634235817704588,58.49617689637814,0.3082021448890524,5,4,1,1899.9328513137427,1891.3329336161753,0,0,,7.582387737579438,0,1,1
2021-01-01 05:15:00+00:00,1895.782479100802,1895.1116678493229,1891.3329336161753,1892.3778313787825,1951,13,XAUUSD,M15,5.557701826807553,55.88471564749363,-0.2969710137057061,5,4,1,1900.3262661208516,1891.3329336161753,0,0,0.7444351623123566,,0,1,1
2021-01-01 05:30:00+00:00,1892.3778313787825,1899.4921103715776,1898.4687921471304,1898.4905380721525,7165,12,XAUUSD,M15,5.618491719732073,61.737913837002544,0.7468886677456311,5,4,1,1900.3262661208516,1891.3329336161753,0,0,1.241513852978187,,0,0,-1
